,zipcode,routing_file,label
51,67066,36-CARSOLII-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061237-1.pdf
52,67067,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028995-1.pdf
53,67068,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10015166-1.pdf
54,67069,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10039090-1.pdf
55,67100,2-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10014392-1.pdf
56,66010,Y18--MIX-660-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10016063-1.pdf
57,66011,Y18--15-CHIE-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10042195-1.pdf
58,66012,Y18--6-CHIET-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061238-1.pdf
59,66014,Y17--10-ORTO-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011465-1.pdf
60,66015,Y17--2-CASOL-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061239-1.pdf
61,66016,Y18--6-CHIET-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046496-1.pdf
62,66017,Y17--2-CASOL-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061240-1.pdf
63,66018,Y17--2-CASOL-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046497-1.pdf
64,66019,Y17--2-CASOL-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061241-1.pdf
65,66020,Y18--MIX-660-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10006626-1.pdf
66,66021,Y17--18-VAST-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028996-1.pdf
67,66022,Y17--8-LANCI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10014393-1.pdf
68,66023,Y18--23-PESC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10062075-1.pdf
69,66026,Y17--10-ORTO-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061242-1.pdf
70,66030,Y17--MIX-660-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10065057-1.pdf
71,66031,Y17--7-GISSI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061243-1.pdf
72,66032,Y17--8-LANCI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10041108-1.pdf
73,66033,Y17--3-CASTI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061244-1.pdf
74,66034,Y17--8-LANCI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10065058-1.pdf
75,66036,Y17--8-LANCI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061245-1.pdf
76,66037,Y17--8-LANCI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061246-1.pdf
77,66038,Y17--8-LANCI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011466-1.pdf
78,66040,Y17--MIX-660-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10004115-1.pdf
79,66041,Y17--1-ATESS-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028997-1.pdf
